"Sygnatura czasowa","Płeć","Wiek","Wykształcenie","W jakiej branży pracujesz?","Jakie stanowisko zajmujesz?","Gdzie mieszkasz?","Czy mieszkasz w Polsce, czy za granicą?","Jak korzystasz z „Więzi”? ","Czy jesteś Prenumeratorką/Prenumeratorem „Więzi”?","Co by Cię zachęciło do prenumeraty? ","Z jakiego rodzaju prenumeraty korzystasz?","Jeśli prenumerujesz „Więź”, szczególnie wspierasz naszą działalność. Co Cię do tego skłania?","Od jak dawna sięgasz po kwartalnik „Więź”?","Jak często odwiedzasz Więź.pl?","Należysz do grona Patronów i Darczyńców „Więzi”? Jeśli tak, napisz w kilku słowach, dlaczego wspierasz naszą działalność.","Skąd dowiedziałaś/dowiedziałeś się o „Więzi” – piśmie lub portalu?","Sięgasz po nasz kwartalnik lub czytasz nasz portal, bo „Więź”… (wybierz 1-3 odpowiedzi)","Co najchętniej czytasz w kwartalniku „Więź” (wybierz 1-3 odpowiedzi)?","Czego nie czytasz w kwartalniku „Więź” (wybierz 1-3 odpowiedzi)?","Czy czytasz treści dostępne tylko na Więź.pl (niepochodzące z kwartalnika)?","Dlaczego? ","Jaką kategorię treści najczęściej czytasz na Więź.pl?","Które z tematów obecnych na Więź.pl są dla Ciebie samej/samego najważniejsze (wybierz 1-5 odpowiedzi)?","Jakiego rodzaju tekstów (gatunki dziennikarskie) chcesz czytać więcej na Więź.pl (wybierz 1-3 odpowiedzi)? ","Na jakie tematy według Ciebie piszemy na Więź.pl za mało (wybierz 1-3 odpowiedzi)?","Jakich treści brakuje Ci na Więź.pl? ","W których mediach społecznościowych obserwujesz „Więź”?","Na których platformach Twoim zdaniem brakuje „Więzi""?","Zaznacz w skali od 1 do 10, gdzie 0 oznacza decydowanie nie, a 10 zdecydowanie tak.","Czy słuchasz regularnie podcastów?","Jakich podcastów słuchasz regularnie?","Czy subskrybujesz kanały na YouTube?","Jeśli tak, jakie to kanały?","Jakie są Twoje ulubione profile, które obserwujesz na Facebooku?","Jeśli masz jakieś sugestie lub uwagi, to prosimy podziel się nimi tutaj."
"2021/12/10 1:44:25 PM CET","Kobieta","36-50","Wyższe","Media","Dyrektor/ka","Miasto powyżej 500 tys.","W Polsce","Czytam tylko artykuły dostępne na Więź.pl bez wykupionego dostępu","Nie, ale wspieram „Więź” poprzez darowizny","Nie wiem","","","","","Bo tak","Od bliskich/przyjaciół","Jest wiarygodna i rzetelna;Publikuje pogłębione i przystępne teksty","Dyskusje redakcyjne;Felieton Michała Zioły;W galerii „Więzi”","Dyskusje redakcyjne;Felieton Michała Zioły;Felieton „Ksiądz z kobietą w kinie”","Tak","Bo tak","Wiadomości","Aborcja;Antysemityzm;Książka","Publicystyka społeczno-polityczna;Publicystyka kulturalna;Publicystyka zagraniczna","Kultura;Literatura","","Facebook","","8","Nie","","Nie","","",""
"2021/12/10 4:04:32 PM CET","Mężczyzna","26-35","Wyższe","Media","Młodszy/a specjalista/ka","Miasto powyżej 500 tys.","W Polsce","Czytam papierowe wydanie kwartalnika;Czytam cyfrowe wydanie kwartalnika na Więź.pl (mam wykupiony dostęp);Czytam kwartalnik w wersji na czytniki (plik PDF, epub lub mobi);Czytam artykuły na Więź.pl dostępne bez wykupionego dostępu","Nie","Kupa hajsu","","","","","","Zaciekawiła mnie okładka/treść w punkcie sprzedaży","Jest wiarygodna i rzetelna;Publikuje pogłębione i przystępne teksty;To „moje pismo” / „mój portal”","Religijny temat numeru;Kulturalny temat numeru;Felieton „Ksiądz z kobietą w kinie”","Czytam od deski do deski","Tak","Bo je tworzę.","Kultura","Film;Kultura;Książka;Pedofilia w Kościele;Wiara","Publicystyka kulturalna","Duchowość;Sport","esejów o meczach!","Facebook","tik-tok","10","Nie","","Nie","","Regres osobisty",""
"2021/12/10 4:24:23 PM CET","Mężczyzna","26-35","Wyższe","Media","Specjalista/ka","Miasto powyżej 500 tys.","W Polsce","Czytam papierowe wydanie kwartalnika;Czytam artykuły na Więź.pl dostępne bez wykupionego dostępu","Nie","Więcej czasu :)","","","","","","Od bliskich/przyjaciół","Jest wiarygodna i rzetelna;To „moje pismo” / „mój portal”","Społeczny temat numeru;Religijny temat numeru;Dział „Czytanie świata”;Dział „Dzieci Abrahama”;W galerii „Więzi”","Felieton „Ksiądz z kobietą w kinie”;Recenzje książek","Tak",":)","Historia","Dialog;Historia;Papież Franciszek;Polityka;Wiara","Publicystyka społeczno-polityczna;Publicystyka zagraniczna;Wiadomości ze świata","Sport;Wiara","","Facebook;Twitter;YouTube","TikTok i IG!","10","Tak","","Tak","","",""
"2021/12/10 7:01:53 PM CET","Kobieta","36-50","Wyższe","Media","Specjalista/ka","Miasto powyżej 500 tys.","W Polsce","Czytam papierowe wydanie kwartalnika","Nie","Więcej tekstów o sztuce. ","","","","","","Zaciekawiła mnie okładka/treść w punkcie sprzedaży","Jest wiarygodna i rzetelna;Opisuje świat z perspektywy chrześcijańskiej;Pomaga mi wytrwać w Kościele","Religijny temat numeru;Kulturalny temat numeru;Recenzje książek","Dział „Z drugiej strony Bugu”;Dział „Dzieci Abrahama”;Felieton Michała Zioły","Tak","","Wiara","Kryzys Kościoła;Kultura;LGBT;Sztuka;Wiara","Publicystyka religijna;Publicystyka kulturalna;Wiadomości kulturalne","Kultura;Sztuka;Teologia","Głosu świeckich w Kościele. Za dużo biskupów tu gada. Brakuje też tekstów o sztukach plastycznych. ","Facebook","","8","Nie","","Nie","","Grupa Lewa Nawa","Brakuje felietonu pisanego przez kobietę. "
"2021/12/10 11:01:40 PM CET","Mężczyzna","51-65","Wyższe","Media","Dyrektor/ka","Miasto od 50 tys. do 150 tys.","W Polsce","Czytam papierowe wydanie kwartalnika;Czytam artykuły na Więź.pl dostępne bez wykupionego dostępu","Nie","","","","","","","Od bliskich/przyjaciół","To „moje pismo” / „mój portal”","Społeczny temat numeru;Religijny temat numeru;Kulturalny temat numeru","Czytam od deski do deski","Tak","Bo fajne są","Wiara","Kryzys Kościoła;Pedofilia w Kościele;Żydzi","Publicystka historyczna;Publicystyka społeczno-polityczna;Publicystyka zagraniczna","Duchowość;Etyka;Społeczeństwo","","Facebook","","10","Nie","","Nie","","",""
"2021/12/11 7:59:34 AM CET","Mężczyzna","26-35","Wyższe","Kultura i sztuka","Specjalista/ka","Miasto do 50 tys.","W Polsce","Czytam papierowe wydanie kwartalnika","Tak","","Rocznej prenumeraty druk + cyfra","Wysoki poziom pisma i nazwiska autorów. ","Od 3-5 lat","Kilka razy w tygodniu","","Zaciekawiła mnie okładka/treść w punkcie sprzedaży","Jest wiarygodna i rzetelna;Opisuje świat z perspektywy chrześcijańskiej;Publikuje pogłębione i przystępne teksty","Społeczny temat numeru;Dział Historia;Recenzje książek","W galerii „Więzi”;Edytorial","Tak","Coś innego, nowego","Historia","Dialog;Ewangelia;Historia;Kryzys Kościoła;Książka","Publicystka historyczna;Publicystyka religijna;Publicystyka społeczno-polityczna","Duchowość;Gospodarka;Sztuka","Bożego miłosierdzia ","Facebook;Twitter","tik tok","10","Nie","","Tak","Historyczne, sportowe","",""
"2021/12/11 10:10:59 AM CET","Kobieta","36-50","Wyższe","Kultura i sztuka","Właściciel/ka","Miasto od 150 tys. do 500 tys.","W Polsce","Czytam kwartalnik w wersji na czytniki (plik PDF, epub lub mobi);Czytam artykuły na Więź.pl dostępne bez wykupionego dostępu","Nie, ale wspieram „Więź” poprzez Patronite","","","","","","Dlatego że chcę wspierać mądre dziennikarstwo, niebojące się podejmować trudnych tematów, naświetlać je z wielu stron.","Wiedziałam o ""WięzI"" jeszcze zanm miałam dostęp do internetu, nie wiem skąd.","Jest wiarygodna i rzetelna;Opisuje świat z perspektywy chrześcijańskiej","Religijny temat numeru;Felieton Michała Zioły","Czytam od deski do deski","Nie","Chcę czytac więcej, nie tylko treści z portalu","Wiara","Kryzys Kościoła","Reportaż","Duchowość","Nie ma takich treści","Facebook","Nie ma takich","9","Tak","Katolickich i kryminalnych","Tak","Jest ich za dużo, by tu wymienić.","jest ich kilka",""
"2021/12/11 10:24:40 AM CET","Mężczyzna","36-50","Wyższe","Media","Starszy/a specjalista/ka","Miasto do 50 tys.","W Polsce","Czytam papierowe wydanie kwartalnika;Czytam kwartalnik w wersji na czytniki (plik PDF, epub lub mobi);Czytam artykuły na Więź.pl dostępne bez wykupionego dostępu","Nie, ale wspieram „Więź” poprzez Patronite","i tak dostaję ją jako patron, więc wychodzi na jedno","","","","","bardzo wartościowe pismo, nie znajdzie się gdzie indziej takich treści. otwartość na katolicyzm i na rozum","Od bliskich/przyjaciół","Jest wiarygodna i rzetelna;Opisuje świat z perspektywy chrześcijańskiej;Publikuje pogłębione i przystępne teksty;To „moje pismo” / „mój portal”;Jest tytułem, z którym jestem związana/związany od lat;Pomaga mi wytrwać w Kościele","Społeczny temat numeru;Religijny temat numeru;Kulturalny temat numeru;Felieton Jakuba Wygnańskiego;Dział „Otwarta ortodoksja”;Dyskusje redakcyjne;Felieton „Ksiądz z kobietą w kinie”;Recenzje książek;W galerii „Więzi”;Felieton Jerzego Sosnowskiego;Edytorial","Dział „Czytanie świata”;Dział „Z drugiej strony Bugu”;Dział Historia;Dział „Dzieci Abrahama”","Tak","też są wartościowe","Społeczeństwo","Kryzys Kościoła;Kultura;Literatura;Poezja;Sztuka;Wiara","Publicystyka religijna;Publicystyka kulturalna;publicystyka społeczna, ale nie polityczna!","Duchowość;Społeczeństwo","","Facebook","","10","Tak","Jordan Peterson, David Runciman","Tak","Marianczello","",""
"2021/12/11 10:32:33 AM CET","Mężczyzna","26-35","Wyższe","Produkcja","Specjalista/ka","Miasto powyżej 500 tys.","W Polsce","Czytam kwartalnik w wersji na czytniki (plik PDF, epub lub mobi);Czytam artykuły na Więź.pl dostępne bez wykupionego dostępu","Nie, ale wspieram „Więź” poprzez Patronite","","","","","","podoba mi się podejście do tematów wiary, również próba wyjścia poza spór polityczny w tematach społecznych","Od bliskich/przyjaciół","Jest wiarygodna i rzetelna;Publikuje pogłębione i przystępne teksty;bardzo dobry język","Społeczny temat numeru;Religijny temat numeru;Kulturalny temat numeru","Recenzje książek;W galerii „Więzi”","Tak","pogłebione teksty opisujące bieżące problemy","Wiara","Dialog;Ewangelia;Kryzys Kościoła;Papież Franciszek;Pedofilia w Kościele","Publicystyka religijna;Publicystyka społeczno-polityczna;Wiadomości ze świata","Inne religie;Literatura;Sport","","Facebook","","9","Nie","","Nie","","",""
"2021/12/11 10:37:50 AM CET","Mężczyzna","51-65","Wyższe","Edukacja","Specjalista/ka","Wieś","W Polsce","Czytam cyfrowe wydanie kwartalnika na Więź.pl (mam wykupiony dostęp);Czytam kwartalnik w wersji na czytniki (plik PDF, epub lub mobi)","Tak","Wspieram w ten sposób ""Więź""","Rocznej sponsorskiej prenumeraty cyfrowej","Znaczenie środowiska ""Więzi"" dla jakości debaty publicznej w Polsce.","Od 3-5 lat","Kilka razy w miesiącu","Już napisałem wcześniej... Uważam, że środowisko ""Więzi"" wnosi bardzo dużo do jakości debaty publicznej w Polsce. Cenię je za odwagę. Poglądy Autorów publikujących w ""Więzi"" nie zawsze są mi bliskie, ale cenię ich mądrość i autentyczność. Lektura tekstów z ""Więzi"" zawsze daje do myślenia. ","Od bliskich/przyjaciół","Jest wiarygodna i rzetelna;Publikuje pogłębione i przystępne teksty","Społeczny temat numeru;Felieton Jakuba Wygnańskiego;Felieton Jerzego Sosnowskiego","Czytam od deski do deski","Tak","Bo są","Wiadomości","Demokracja;Kryzys Kościoła;Kultura;Literatura","Publicystyka religijna;Publicystyka społeczno-polityczna;Felieton","Edukacja","","Facebook","","8","Nie","","Nie","","",""
